Calories,Protein,Sodium,Saturated Fat,Dietary Fiber,Iron,Vitamin B12,Cholesterol,URL,Brand,Product
140,9g,400mg,0g,0.5g,0.6mg,N/A,0mg,https://www.myfooddiary.com/foods/7760478/morningstar-farms-incogmeato-pancake-sausage-stick,Morningstar,Morningstar Farms Farms Incogmeato Pancake Sausage Stick
160,13g,300mg,1g,4g,1.9mg,N/A,0mg,https://www.myfooddiary.com/foods/7644698/morningstar-farms-incogmeato-mickey-mouse-shaped,Morningstar,Morningstar Farms Farms Incogmeato Mickey Mouse Shaped
200,17g,470mg,1.5g,2g,1.8mg,N/A,0mg,https://www.myfooddiary.com/foods/7760474/morningstar-farms-incogmeato-hot-spicy-crispy-chik,Morningstar,Morningstar Farms Farms Incogmeato Hot Spicy Crispy Chik
400,21g,620mg,3.5g,4g,2.5mg,N/A,0mg,https://www.myfooddiary.com/foods/7760479/morningstar-farms-incogmeato-chik-n-eggo-liege,Morningstar,Morningstar Farms Farms Incogmeato Chik N Eggo Liege
140,16g,320mg,1g,3g,1.1mg,N/A,0mg,https://www.myfooddiary.com/foods/641396/morningstar-farms-grillers-original-burger,Morningstar,Morningstar Farms Farms Grillers Original Burger
140,6g,480mg,0g,0.5g,0.5mg,N/A,0mg,https://www.myfooddiary.com/foods/2271/morningstar-farms-corn-dog,Morningstar,Morningstar Farms Farms Corn Dog
130,10g,340mg,1.5g,4g,1.9mg,N/A,0mg,https://www.myfooddiary.com/foods/5140493/morningstar-farms-tomato-basil-pizza-burger,Morningstar,Morningstar Farms Farms Tomato Basil Pizza Burger
230,17g,510mg,1.5g,2g,2mg,N/A,0mg,https://www.myfooddiary.com/foods/7652752/morningstar-farms-incogmeato-chik-n-tenders,Morningstar,Morningstar Farms Farms Incogmeato Chik N Tenders
200,21g,500mg,0.5g,8g,3.1mg,N/A,0mg,https://www.myfooddiary.com/foods/7266081/morningstar-farms-sweet-bbq-riblets-sauce,Morningstar,Morningstar Farms Farms Sweet Bbq Riblets Sauce
180,9g,410mg,2g,3g,1.4mg,N/A,0mg,https://www.myfooddiary.com/foods/7559260/morningstar-farms-pepperoni-pizza-bites,Morningstar,Morningstar Farms Farms Pepperoni Pizza Bites
110,9g,420mg,1g,5g,2mg,N/A,0mg,https://www.myfooddiary.com/foods/7414941/morningstar-farms-chorizo-crumbles,Morningstar,Morningstar Farms Farms Chorizo Crumbles
140,9g,390mg,0.5g,2g,0.7mg,N/A,0mg,https://www.myfooddiary.com/foods/7760480/morningstar-farms-incogmeato-blueberry-pancake,Morningstar,Morningstar Farms Farms Incogmeato Blueberry Pancake
170,9g,380mg,1g,3g,1.2mg,N/A,0mg,https://www.myfooddiary.com/foods/7133498/morningstar-farms-buffalo-chik-patties,Morningstar,Morningstar Farms Farms Buffalo Chik Patties
200,12g,470mg,1g,4g,1.6mg,N/A,0mg,https://www.myfooddiary.com/foods/7414936/morningstar-farms-bbq-chik-n-nuggets,Morningstar,Morningstar Farms Farms Bbq Chik N Nuggets
160,6g,540mg,2g,1g,1.1mg,N/A,0mg,https://www.myfooddiary.com/foods/7760483/morningstar-farms-breakfast-bites-vegan-egg,Morningstar,Morningstar Farms Farms Breakfast Bites Vegan Egg
200,11g,670mg,1.5g,2g,1.8mg,N/A,0mg,https://www.myfooddiary.com/foods/7760473/morningstar-farms-pringles-original-chik-n-fries,Morningstar,Morningstar Farms Farms Pringles Original Chik N Fries
